Date;bin
05.01.2024;GR
18.01.2024;GR
01.02.2024;GR
16.02.2024;GR
29.02.2024;GR
14.03.2024;GR
27.03.2024;GR
11.04.2024;GR
25.04.2024;GR
10.05.2024;GR
24.05.2024;GR
06.06.2024;GR
20.06.2024;GR
04.07.2024;GR
18.07.2024;GR
01.08.2024;GR
15.08.2024;GR
29.08.2024;GR
12.09.2024;GR
26.09.2024;GR
10.10.2024;GR
24.10.2024;GR
07.11.2024;GR
21.11.2024;GR
05.12.2024;GR
19.12.2024;GR
04.01.2024;BL
01.02.2024;BL
06.03.2024;BL
05.04.2024;BL
06.05.2024;BL
10.06.2024;BL
08.07.2024;BL
05.08.2024;BL
02.09.2024;BL
30.09.2024;BL
30.10.2024;BL
28.11.2024;BL
04.01.2024;YE
01.02.2024;YE
06.03.2024;YE
05.04.2024;YE
06.05.2024;YE
10.06.2024;YE
08.07.2024;YE
05.08.2024;YE
02.09.2024;YE
30.09.2024;YE
30.10.2024;YE
28.11.2024;YE
